,L,R,U,D,ATK,SPC,JMP,DGD,STR
31,0.0215129554271698,0.1879287213087082,0.18743427097797394,0.01328349020332098,0.0046119969338178635,0.14559747278690338,0.02799740992486477,0.023521743714809418,0.0016312055522575974
32,0.021508587524294853,0.18754297494888306,0.18730616569519043,0.013223033398389816,0.004601577762514353,0.14556661248207092,0.027611706405878067,0.023752514272928238,0.0016301529249176383
33,0.021025747060775757,0.18369409441947937,0.18473178148269653,0.01279348786920309,0.004349209368228912,0.1460951417684555,0.02626810595393181,0.023643268272280693,0.001548091764561832
34,0.02037902921438217,0.17920029163360596,0.18167339265346527,0.012344335205852985,0.004052547737956047,0.14741800725460052,0.02459326758980751,0.023430215194821358,0.0014528926694765687
35,0.019698813557624817,0.1748124659061432,0.1784505993127823,0.011846504174172878,0.0037682196125388145,0.14795848727226257,0.023330042138695717,0.023162519559264183,0.0013519258936867118
36,0.01922469027340412,0.17230015993118286,0.17650800943374634,0.011552654206752777,0.003604690544307232,0.14810898900032043,0.0225601214915514,0.023033112287521362,0.001291055348701775
37,0.018924210220575333,0.1713828593492508,0.1755904257297516,0.01138684619218111,0.0035327677614986897,0.14709092676639557,0.022282568737864494,0.022952446714043617,0.0012594998115673661
38,0.018934408202767372,0.17299705743789673,0.17634566128253937,0.011495663784444332,0.0036075927782803774,0.14587685465812683,0.022706570103764534,0.02307664230465889,0.0012800551485270262
39,0.019195159897208214,0.17552463710308075,0.1780809611082077,0.011706694029271603,0.003760076593607664,0.14536108076572418,0.023277707397937775,0.023413177579641342,0.0013231333578005433
40,0.0193205326795578,0.17720046639442444,0.17952308058738708,0.011778381653130054,0.0038594568613916636,0.14451782405376434,0.023539815098047256,0.023560836911201477,0.0013492280850186944
41,0.019489118829369545,0.17913976311683655,0.18104267120361328,0.011985709890723228,0.003972132224589586,0.14436347782611847,0.023674996569752693,0.023712802678346634,0.001389693352393806
42,0.01962229795753956,0.18018276989459991,0.18185575306415558,0.012095998041331768,0.004043450579047203,0.1444084495306015,0.02379627339541912,0.023866048082709312,0.0014113164506852627
43,0.019490394741296768,0.1793883740901947,0.18154819309711456,0.011973090469837189,0.003990096505731344,0.14433899521827698,0.023348182439804077,0.02377140149474144,0.0013918947661295533
44,0.019325759261846542,0.1784236878156662,0.18028557300567627,0.011807450093328953,0.003926367033272982,0.14357179403305054,0.023631278425455093,0.023715369403362274,0.0013619213132187724
45,0.019009428098797798,0.1762223243713379,0.1781654804944992,0.011403841897845268,0.0037932463455945253,0.14194829761981964,0.02397744171321392,0.02355366200208664,0.0013020222540944815
46,0.01859668642282486,0.17385365068912506,0.1759050190448761,0.011006379500031471,0.0036368402652442455,0.14028416574001312,0.024084411561489105,0.023237626999616623,0.001243689563125372
47,0.01831771992146969,0.1722114533185959,0.1740533858537674,0.010746430605649948,0.00352368107996881,0.13886931538581848,0.024228569120168686,0.023013563826680183,0.0012024312745779753
48,0.01814337819814682,0.17095257341861725,0.17283466458320618,0.010532157495617867,0.0034468129742890596,0.13795094192028046,0.024281496182084084,0.02289736643433571,0.001171662355773151
49,0.017961809411644936,0.16983278095722198,0.1719532161951065,0.010375704616308212,0.003374894382432103,0.13779263198375702,0.02400219440460205,0.022745447233319283,0.0011486585717648268
50,0.01785351149737835,0.16971854865550995,0.1714000254869461,0.010303106158971786,0.0033505046740174294,0.13690336048603058,0.02429555356502533,0.02263643592596054,0.0011406318517401814
51,0.017811721190810204,0.17012229561805725,0.17166292667388916,0.010321754962205887,0.003360504750162363,0.13691383600234985,0.024242719635367393,0.02252480760216713,0.0011491993209347129
52,0.017892157658934593,0.17165951430797577,0.17285221815109253,0.010491838678717613,0.003430894808843732,0.1371738314628601,0.024284321814775467,0.022521205246448517,0.0011813263408839703
53,0.018103377893567085,0.17338775098323822,0.1746615767478943,0.01074383594095707,0.0035372471902519464,0.13856713473796844,0.02403993532061577,0.02269870415329933,0.0012242187513038516
54,0.018427051603794098,0.1754630208015442,0.17653828859329224,0.011126670055091381,0.0036708868574351072,0.14022062718868256,0.0237891748547554,0.02302134409546852,0.0012756766518577933
55,0.01856101304292679,0.17631499469280243,0.17768774926662445,0.011338840238749981,0.0037265934515744448,0.14122281968593597,0.023218901827931404,0.023180490359663963,0.0012987481895834208
56,0.018620921298861504,0.1769201159477234,0.17840765416622162,0.011524303816258907,0.003763443324714899,0.14190268516540527,0.02272840030491352,0.02328156679868698,0.0013162224786356091
57,0.018611561506986618,0.17695870995521545,0.1784629076719284,0.011603179387748241,0.0037692112382501364,0.14219602942466736,0.022433511912822723,0.023353733122348785,0.0013176541542634368
